Country,2013,2010,2005,2000
Afghanistan,120,260,380,720
Algeria,0,10,0,10
Angola,14000,14000,22000,22000
Argentina,0,0,0,0
Armenia,0,0,0,0
Azerbaijan,0,0,0,0
Bangladesh,1600,1500,2400,6100
Belize,0,0,0,0
Benin,6200,6800,8600,7400
Bhutan,0,10,10,50
Bolivia,10,50,50,50
Botswana,10,10,10,100
Brazil,50,100,180,370
BurkinaFaso,17000,29000,32000,39000
Burundi,3200,3500,5300,8900
Ivory Coast,16000,22000,32000,33000
CaboVerde,0,10,10,0
Cambodia,120,320,710,3600
Cameroon,9400,11000,21000,20000
CentralAfricanRepublic,3800,5000,7400,6400
Chad,7800,7700,7700,6400
China,50,50,50,50
Colombia,100,190,220,380
Comoros,310,360,290,280
Congo,1600,1700,2400,2800
Costa Rica,0,0,0,0
North Korea,0,0,0,0
DemocraticRepublicoftheCongo,50000,82000,110000,100000
Djibouti,50,10,50,50
DominicanRepublic,10,10,50,10
Ecuador,0,0,0,0
ElSalvador,0,0,0,0
EquatorialGuinea,340,350,790,680
Eritrea,130,180,100,130
Ethiopia,6700,8000,9100,16000
Gabon,370,320,310,460
Gambia,600,570,570,740
Georgia,0,0,0,0
Ghana,15000,16000,16000,19000
Guatemala,10,10,50,50
Guinea,11000,11000,12000,15000
Guinea-Bissau,680,670,730,1600
Guyana,100,100,130,100
Haiti,280,580,550,510
Honduras,10,50,50,50
India,26000,33000,35000,36000
Indonesia,6600,6600,7200,4400
Iran,10,10,10,10
Iraq,0,0,0,10
Kenya,9900,9000,10000,13000
Kyrgyzstan,0,0,0,0
Laos,180,170,120,630
Liberia,2200,2400,4100,6700
Madagascar,3200,1700,3300,3900
Malawi,7800,10000,9700,16000
Malaysia,50,50,50,50
Mali,20000,16000,23000,27000
Mauritania,1100,1100,1000,880
Mexico,0,10,10,10
Mozambique,16000,18000,25000,40000
Myanmar,2300,3000,3000,3100
Namibia,50,10,180,260
Nepal,10,50,100,100
Nicaragua,10,10,50,50
Niger,12000,15000,14000,15000
Nigeria,120000,130000,190000,210000
Oman,No data,No data,No data,No data
Pakistan,1100,1700,4400,3800
Panama,0,10,0,10
Papua New Guinea,3100,2700,2800,3100
Paraguay,0,0,0,0
Peru,10,0,10,50
Philippines,50,110,300,230
South Korea,0,10,0,0
Russia,No data,No data,No data,No data
Rwanda,3000,3000,3600,5200
SaoTomeandPrincipe,100,100,110,110
Saudi Arabia,0,0,0,0
Senegal,4200,4100,4600,6500
Sierra Leone,7800,11000,12000,12000
Solomon Islands,50,50,140,120
Somalia,2000,730,2800,1800
South Africa,120,100,100,490
South Sudan,2900,3200,4000,6100
SriLanka,0,0,0,100
Sudan,3300,3000,5500,6300
Suriname,10,10,10,50
Swaziland,10,10,10,10
Syria,No data,No data,No data,No data
Tajikistan,0,0,0,0
Thailand,50,100,210,810
Timor-Leste,130,220,530,490
Togo,4700,6300,6900,6900
Turkey,0,0,0,0
Turkmenistan,0,0,0,0
Uganda,12000,19000,35000,49000
Tanzania,17000,16000,20000,30000
Uzbekistan,0,0,0,0
Vanuatu,10,50,50,50
Venezuela,150,100,100,100
Vietnam,50,100,100,430
Yemen,1100,1300,1500,1900
Zambia,6700,6300,7900,14000
Zimbabwe,2600,2500,2700,2500
